KEGG_ko,Core_count,Variable_count,Core_norm,Variable_norm,KO_Difference,Z_score,p_value,BH_corrected_p_value,Bonferroni_corrected_p_value,Significant_BH,Significant_Bonferroni,Description,Preferred_name,PFAMs,Group,
ko:K02488,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Pas domain,-,"GAF,GAF_2,HATPase_c,HisKA,PAS_3,PAS_4,PAS_8,PAS_9,Response_reg,dCache_1",Ca. Bathyarchaeia cluster 1,
ko:K02492,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,glutamyl-tRNA reductase activity,hemA,"GlutR_N,GlutR_dimer,Mpt_N,Shikimate_DH",Ca. Bathyarchaeia cluster 1,
ko:K03627,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Helix-turn-helix XRE-family like proteins,-,HTH_3,Ca. Bathyarchaeia cluster 1,
ko:K03626,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Contacts the emerging nascent chain on the ribosome,nac,NAC,Ca. Bathyarchaeia cluster 1,
ko:K07503,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Cleaves both 3' and 5' ssDNA extremities of branched DNA structures,nucS,NucS,Ca. Bathyarchaeia cluster 1,
ko:K06191,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,PFAM glutaredoxin,-,Glutaredoxin,Ca. Bathyarchaeia cluster 1,
ko:K02875,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Belongs to the eukaryotic ribosomal protein eL14 family,rpl14e,Ribosomal_L14e,Ca. Bathyarchaeia cluster 1,
ko:K19172,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Domain of unknown function DUF87,-,"DUF853,DUF87,PLDc_2",Ca. Bathyarchaeia cluster 1,
ko:K05966,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,ATP dephospho-CoA triphosphoribosyl transferase,citG,CitG,Ca. Bathyarchaeia cluster 1,
ko:K07398,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,PUA domain containing protein,-,"PUA,TGT_C2",Ca. Bathyarchaeia cluster 1,
ko:K03517,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Catalyzes the condensation of iminoaspartate with dihydroxyacetone phosphate to form quinolinate,nadA,NadA,Ca. Bathyarchaeia cluster 1,
ko:K03500,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family,-,"Methyltr_RsmB-F,NusB",Ca. Bathyarchaeia cluster 1,
ko:K02896,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,binds to the 23S rRNA,rpl24e,Ribosomal_L24e,Ca. Bathyarchaeia cluster 1,
ko:K07254,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Specifically catalyzes the AdoMet-dependent 2'-O-ribose methylation of cytidine at position 56 in tRNAs,-,Trm56,Ca. Bathyarchaeia cluster 1,
ko:K07446,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,methylase,-,"THUMP,UPF0020",Ca. Bathyarchaeia cluster 1,
ko:K07107,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,thioesterase,-,"4HBT,4HBT_2",Ca. Bathyarchaeia cluster 1,
ko:K04564,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,-,"Sod_Fe_C,Sod_Fe_N",Ca. Bathyarchaeia cluster 1,
ko:K00610,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Involved in allosteric regulation of aspartate carbamoyltransferase,pyrI,"PyrI,PyrI_C",Ca. Bathyarchaeia cluster 1,
ko:K00965,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,galactose-1-phosphate uridylyltransferase,-,"GalP_UDP_tr_C,GalP_UDP_transf",Ca. Bathyarchaeia cluster 1,
ko:K01622,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,"Catalyzes two subsequent steps in gluconeogenesis the aldol condensation of dihydroxyacetone phosphate (DHAP) and glyceraldehyde-3-phosphate (GA3P) to fructose-1,6-bisphosphate (FBP), and the dephosphorylation of FBP to fructose-6-phosphate (F6P)",fbp,FBPase_3,Ca. Bathyarchaeia cluster 1,
ko:K01001,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,PFAM Glycosyl transferase family 4,-,Glycos_transf_4,Ca. Bathyarchaeia cluster 1,
ko:K12262,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Cytochrome b561,-,Ni_hydr_CYTB,Ca. Bathyarchaeia cluster 1,
ko:K12234,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,"Catalyzes the GTP-dependent successive addition of two or more gamma-linked L-glutamates to the L-lactyl phosphodiester of 7,8-didemethyl-8-hydroxy-5-deazariboflavin (F420-0) to form coenzyme F420-0-glutamyl-glutamate (F420-2) or polyglutamated F420 derivatives",cofE,F420_ligase,Ca. Bathyarchaeia cluster 1,
ko:K17870,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain",-,"Pyr_redox_2,Pyr_redox_dim",Ca. Bathyarchaeia cluster 1,
ko:K11788,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,"AIR synthase related protein, N-terminal domain",purM,"AIRS,AIRS_C",Ca. Bathyarchaeia cluster 1,
ko:K00205,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,"PFAM 4Fe-4S ferredoxin, iron-sulfur binding domain protein",fwdF-1,"Fer4,Fer4_4,Fer4_7",Ca. Bathyarchaeia cluster 1,
ko:K01560,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,haloacid dehalogenase,ysaA,HAD_2,Ca. Bathyarchaeia cluster 1,
ko:K09903,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Catalyzes the reversible phosphorylation of UMP to UDP,pyrH,AA_kinase,Ca. Bathyarchaeia cluster 1,
ko:K00249,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,PFAM acyl-CoA dehydrogenase domain protein,-,"Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_dh_N",Ca. Bathyarchaeia cluster 1,
ko:K00172,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,"TIGRFAM pyruvate ketoisovalerate oxidoreductase, gamma subunit",-,POR,Ca. Bathyarchaeia cluster 1,
ko:K21057,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Belongs to the carbohydrate kinase PfkB family,-,PfkB,Ca. Bathyarchaeia cluster 1,
ko:K00202,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,PFAM glutamate synthase alpha subunit domain protein,-,GXGXG,Ca. Bathyarchaeia cluster 1,
ko:K01507,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Catalyzes the hydrolysis of inorganic pyrophosphate (PPi) forming two phosphate ions,ppa,Pyrophosphatase,Ca. Bathyarchaeia cluster 1,
ko:K00201,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,"Formylmethanofuran dehydrogenase, subunit B",-,Molybdopterin,Ca. Bathyarchaeia cluster 1,
ko:K00200,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,PFAM Amidohydrolase 3,fwdA,Amidohydro_3,Ca. Bathyarchaeia cluster 1,
ko:K10714,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,glutamyl-tRNA reductase activity,hemA,"GlutR_N,GlutR_dimer,Mpt_N,Shikimate_DH",Ca. Bathyarchaeia cluster 1,
ko:K10896,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,ERCC4 domain,-,"DEAD,ERCC4,HHH_2,Helicase_C",Ca. Bathyarchaeia cluster 1,
ko:K01482,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Amidinotransferase,-,Amidinotransf,Ca. Bathyarchaeia cluster 1,
ko:K01480,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Belongs to the arginase family,speB,Arginase,Ca. Bathyarchaeia cluster 1,
ko:K17758,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,"Bifunctional enzyme that catalyzes the epimerization of the S- and R-forms of NAD(P)HX and the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. This allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration",nnrD,"Carb_kinase,YjeF_N",Ca. Bathyarchaeia cluster 1,
ko:K00203,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,PFAM molydopterin dinucleotide-binding region,fwdD-1,Molydop_binding,Ca. Bathyarchaeia cluster 1,
ko:K00134,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Belongs to the glyceraldehyde-3-phosphate dehydrogenase family,gap,"Gp_dh_C,Gp_dh_N",Ca. Bathyarchaeia cluster 1,
ko:K00948,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P),prs,"Pribosyltran,Pribosyltran_N",Ca. Bathyarchaeia cluster 1,
ko:K13818,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Molybdopterin-guanine dinucleotide biosynthesis,mobB,"MobB,NTP_transf_3",Ca. Bathyarchaeia cluster 1,
ko:K00609,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,1,1,FALSE,FALSE,Aspartate carbamoyltransferase,pyrB,"OTCace,OTCace_N",Ca. Bathyarchaeia cluster 1,
ko:K17759,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,0.99588148,1,FALSE,FALSE,"Bifunctional enzyme that catalyzes the epimerization of the S- and R-forms of NAD(P)HX and the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. This allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration",nnrD,"Carb_kinase,YjeF_N",Ca. Bathyarchaeia cluster 1,
ko:K14126,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,0.990639998,1,FALSE,FALSE,Nickel-dependent hydrogenase,-,NiFeSe_Hases,Ca. Bathyarchaeia cluster 1,
ko:K00784,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,0.985453402,1,FALSE,FALSE,"Zinc phosphodiesterase, which displays some tRNA 3'- processing endonuclease activity. Probably involved in tRNA maturation, by removing a 3'-trailer from precursor tRNA",rnz,Lactamase_B_2,Ca. Bathyarchaeia cluster 1,
ko:K14109,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,0.980320832,1,FALSE,FALSE,Protein of unknown function (DUF2961),ehaR,-,Ca. Bathyarchaeia cluster 1,
ko:K00024,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,0.975241449,1,FALSE,FALSE,Belongs to the LDH MDH superfamily. LDH family,mdh,"Ldh_1_C,Ldh_1_N",Ca. Bathyarchaeia cluster 1,
ko:K00384,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,0.970214431,1,FALSE,FALSE,Thioredoxin reductase,trxB,"Pyr_redox_2,Pyr_redox_3",Ca. Bathyarchaeia cluster 1,
ko:K21029,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,0.965238973,1,FALSE,FALSE,ThiF family,-,"ThiF,ThiS",Ca. Bathyarchaeia cluster 1,
ko:K15671,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,0.960314284,1,FALSE,FALSE,glutamyl-tRNA reductase activity,hemA,"GlutR_N,GlutR_dimer,Mpt_N,Shikimate_DH",Ca. Bathyarchaeia cluster 1,
ko:K01756,0,5,-0.133220481,0.038562278,-0.171782759,-1.187619706,0.234983271,0.955439592,1,FALSE,FALSE,Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily,purB,"ADSL_C,Lyase_1",Ca. Bathyarchaeia cluster 1,
ko:K03568,6,10,-0.000386947,0.170226322,-0.170613269,-1.179534438,0.238185432,0.963568338,1,FALSE,FALSE,Putative modulator of DNA gyrase,tldD2,PmbA_TldD,Ca. Bathyarchaeia cluster 1,
ko:K11131,6,10,-0.000386947,0.170226322,-0.170613269,-1.179534438,0.238185432,0.958726286,1,FALSE,FALSE,Could be responsible for synthesis of pseudouridine from uracil-55 in the psi GC loop of transfer RNAs,truB,"DKCLD,PUA,TruB_C_2,TruB_N",Ca. Bathyarchaeia cluster 1,
ko:K00627,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,of components of various dehydrogenase complexes,-,"2-oxoacid_dh,Biotin_lipoyl,E3_binding",Ca. Bathyarchaeia cluster 1,
ko:K06942,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,PFAM GTPase of,-,"MMR_HSR1,MMR_HSR1_C,TGS",Ca. Bathyarchaeia cluster 1,
ko:K02936,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,"Multifunctional RNA-binding protein that recognizes the K-turn motif in ribosomal RNA, the RNA component of RNase P, box H ACA, box C D and box C' D' sRNAs",rpl7ae,Ribosomal_L7Ae,Ca. Bathyarchaeia cluster 1,
ko:K00656,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,Pyruvate formate lyase-like,pflD,"Gly_radical,PFL-like",Ca. Bathyarchaeia cluster 1,
ko:K00657,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,Acetyltransferase (GNAT) domain,-,Acetyltransf_3,Ca. Bathyarchaeia cluster 1,
ko:K01271,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,Splits dipeptides with a prolyl in the C-terminal position and a nonpolar amino acid at the N-terminal position,pepQ,"Creatinase_N,Peptidase_M24",Ca. Bathyarchaeia cluster 1,
ko:K07176,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,Ser thr protein kinase,-,RIO1,Ca. Bathyarchaeia cluster 1,
ko:K14128,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,NADH ubiquinone oxidoreductase 20 kDa subunit,-,Oxidored_q6,Ca. Bathyarchaeia cluster 1,
ko:K15888,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,"Catalyzes the sequential condensation of isopentenyl diphosphate (IPP) with geranylgeranyl diphosphate (GGPP) to yield (2Z,6Z,10Z,14Z,18Z,22Z,26Z,30E,34E,38E)-undecaprenyl diphosphate (tritrans,heptacis-UPP). It is probably the precursor of glycosyl carrier lipids",uppS,Prenyltransf,Ca. Bathyarchaeia cluster 1,
ko:K00772,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,Purine nucleoside phosphorylase which is highly specific for 6-oxopurine nucleosides. Cleaves guanosine or inosine to respective bases and sugar-1-phosphate molecules. Involved in purine salvage,-,PNP_UDP_1,Ca. Bathyarchaeia cluster 1,
ko:K07090,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,membrane transporter protein,-,TauE,Ca. Bathyarchaeia cluster 1,
ko:K01155,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,-,-,-,Ca. Bathyarchaeia cluster 1,
ko:K16203,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,D-aminopeptidase,-,Peptidase_M55,Ca. Bathyarchaeia cluster 1,
ko:K03418,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,LamG domain protein jellyroll fold domain protein,-,"CarboxypepD_reg,DUF2341,Laminin_G_3,PKD,Pilin_N,STT3",Ca. Bathyarchaeia cluster 1,
ko:K00806,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,"Catalyzes the sequential condensation of isopentenyl diphosphate (IPP) with geranylgeranyl diphosphate (GGPP) to yield (2Z,6Z,10Z,14Z,18Z,22Z,26Z,30E,34E,38E)-undecaprenyl diphosphate (tritrans,heptacis-UPP). It is probably the precursor of glycosyl carrier lipids",uppS,Prenyltransf,Ca. Bathyarchaeia cluster 1,
ko:K07045,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,Amidohydrolase,-,Amidohydro_2,Ca. Bathyarchaeia cluster 1,
ko:K06863,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,Protein of unknown function (DUF1246),-,"DUF1246,DUF1297",Ca. Bathyarchaeia cluster 1,
ko:K03540,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,"Part of ribonuclease P, a protein complex that generates mature tRNA molecules by cleaving their 5'-ends",rnp4,Rpr2,Ca. Bathyarchaeia cluster 1,
ko:K02979,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,Belongs to the eukaryotic ribosomal protein eS28 family,rps28e,Ribosomal_S28e,Ca. Bathyarchaeia cluster 1,
ko:K01091,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,"HAD-superfamily hydrolase, subfamily IA, variant 1",-,HAD_2,Ca. Bathyarchaeia cluster 1,
ko:K07064,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,Large family of predicted nucleotide-binding domains,-,PIN,Ca. Bathyarchaeia cluster 1,
ko:K02976,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,ribosomal protein,-,Ribosomal_S26e,Ca. Bathyarchaeia cluster 1,
ko:K11263,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,carboxylase,-,"Biotin_carb_C,Biotin_carb_N,Biotin_lipoyl,CPSase_L_D2",Ca. Bathyarchaeia cluster 1,
ko:K21417,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,"Transketolase, pyrimidine binding domain",-,"Transket_pyr,Transketolase_C",Ca. Bathyarchaeia cluster 1,
ko:K01784,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,PFAM NAD-dependent epimerase dehydratase,-,"Epimerase,GDP_Man_Dehyd",Ca. Bathyarchaeia cluster 1,
ko:K01960,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,TIGRFAM oxaloacetate decarboxylase alpha subunit,pycB,"Biotin_lipoyl,HMGL-like,PYC_OADA",Ca. Bathyarchaeia cluster 1,
ko:K08315,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,PFAM peptidase M52 hydrogen uptake protein,hycI,HycI,Ca. Bathyarchaeia cluster 1,
ko:K03809,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,FMN binding,-,"FMN_red,Flavodoxin_1,Flavodoxin_5",Ca. Bathyarchaeia cluster 1,
ko:K01923,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,SAICAR synthetase,purC,SAICAR_synt,Ca. Bathyarchaeia cluster 1,
ko:K01868,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,Belongs to the class-II aminoacyl-tRNA synthetase family,thrS,"HGTP_anticodon,tRNA-Thr_ED,tRNA-synt_2b",Ca. Bathyarchaeia cluster 1,
ko:K08678,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,PFAM NAD-dependent epimerase dehydratase,-,"Epimerase,GDP_Man_Dehyd",Ca. Bathyarchaeia cluster 1,
ko:K01887,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,Belongs to the class-I aminoacyl-tRNA synthetase family,argS,"Arg_tRNA_synt_N,DALR_1,tRNA-synt_1d",Ca. Bathyarchaeia cluster 1,
ko:K01588,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,Catalyzes the reversible conversion of 5-aminoimidazole ribonucleotide (AIR) and CO(2) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR),purE,AIRC,Ca. Bathyarchaeia cluster 1,
ko:K21416,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2),acoA,E1_dh,Ca. Bathyarchaeia cluster 1,
ko:K03733,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,"Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules",xerA,"Phage_int_SAM_1,Phage_int_SAM_4,Phage_integrase",Ca. Bathyarchaeia cluster 1,
ko:K01955,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,cpsL,"ATP-grasp_3,ATPgrasp_Ter",Ca. Bathyarchaeia cluster 1,
ko:K18931,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,"Catalyzes the conversion of AMP and phosphate to adenine and ribose 1,5-bisphosphate (R15P). Exhibits phosphorylase activity toward CMP and UMP in addition to AMP. Functions in an archaeal AMP degradation pathway, together with R15P isomerase and RubisCO",-,"CDC48_N,Glycos_trans_3N,Glycos_transf_3,PYNP_C",Ca. Bathyarchaeia cluster 1,
ko:K00161,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2),acoA,E1_dh,Ca. Bathyarchaeia cluster 1,
ko:K08975,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,Domain of unknown function (DUF373),-,DUF373,Ca. Bathyarchaeia cluster 1,
ko:K01499,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,Catalyzes the reversible interconversion of 5-formyl- H(4)MPT to methenyl-H(4)MPT(,mch,MCH,Ca. Bathyarchaeia cluster 1,
ko:K09726,0,4,-0.133220481,0.012229469,-0.145449951,-1.005567894,0.314623474,1,1,FALSE,FALSE,Protein of unknown function (DUF354),-,DUF354,Ca. Bathyarchaeia cluster 1,
ko:K15429,6,9,-0.000386947,0.143893513,-0.144280461,-0.997482627,0.318530303,1,1,FALSE,FALSE,Met-10+ like-protein,-,Met_10,Ca. Bathyarchaeia cluster 1,
ko:K06915,12,14,0.132446587,0.275557557,-0.14311097,-0.989397359,0.322468766,1,1,FALSE,FALSE,Domain of unknown function DUF87,-,DUF87,Ca. Bathyarchaeia cluster 1,
ko:K00239,0,3,-0.133220481,-0.01410334,-0.119117142,-0.823516082,0.410214575,1,1,FALSE,FALSE,"succinate dehydrogenase or fumarate reductase, flavoprotein",-,"FAD_binding_2,Succ_DH_flav_C",Ca. Bathyarchaeia cluster 1,
ko:K06188,0,3,-0.133220481,-0.01410334,-0.119117142,-0.823516082,0.410214575,1,1,FALSE,FALSE,TIGRFAM MIP family channel,aqpM,MIP,Ca. Bathyarchaeia cluster 1,
ko:K01939,0,3,-0.133220481,-0.01410334,-0.119117142,-0.823516082,0.410214575,1,1,FALSE,FALSE,Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP,purA,Adenylsucc_synt,Ca. Bathyarchaeia cluster 1,
ko:K00283,0,3,-0.133220481,-0.01410334,-0.119117142,-0.823516082,0.410214575,1,1,FALSE,FALSE,The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor,gcvPB,GDC-P,Ca. Bathyarchaeia cluster 1,
ko:K03524,0,3,-0.133220481,-0.01410334,-0.119117142,-0.823516082,0.410214575,1,1,FALSE,FALSE,Acts both as a biotin-- acetyl-CoA-carboxylase ligase and a repressor,birA,"BPL_C,BPL_LplA_LipB,HTH_11",Ca. Bathyarchaeia cluster 1,
ko:K07533,0,3,-0.133220481,-0.01410334,-0.119117142,-0.823516082,0.410214575,1,1,FALSE,FALSE,PPIC-type PPIASE domain,-,Rotamase_3,Ca. Bathyarchaeia cluster 1,
ko:K01624,0,3,-0.133220481,-0.01410334,-0.119117142,-0.823516082,0.410214575,1,1,FALSE,FALSE,COG0191 Fructose tagatose bisphosphate aldolase,fbaA,F_bP_aldolase,Ca. Bathyarchaeia cluster 1,
ko:K00826,0,3,-0.133220481,-0.01410334,-0.119117142,-0.823516082,0.410214575,1,1,FALSE,FALSE,Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase family,ilvE,Aminotran_4,Ca. Bathyarchaeia cluster 1,
ko:K00282,0,3,-0.133220481,-0.01410334,-0.119117142,-0.823516082,0.410214575,1,1,FALSE,FALSE,The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor,gcvPA,GDC-P,Ca. Bathyarchaeia cluster 1,
